City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-2.15,80,20,5.66,CA,1683765670
1,port-aux-francais,-49.35,70.2167,6.49,87,70,13.15,TF,1683765670
2,gamay,12.3854,125.2979,27.47,89,83,2.58,PH,1683765671
3,waitangi,-43.9535,-176.5597,13.79,81,96,4.92,NZ,1683765671
4,revda,56.801,59.9303,4.46,52,71,1.16,RU,1683765671
5,sechura,-5.5569,-80.8222,25.69,70,1,7.7,PE,1683765671
6,punta arenas,-53.15,-70.9167,7.06,81,100,5.14,CL,1683765672
7,akureyri,65.6835,-18.0878,4.96,87,100,1.54,IS,1683765672
8,el carril,-25.0741,-65.4917,16.47,74,0,1.15,AR,1683765672
9,edinburgh of the seven seas,-37.0676,-12.3116,13.99,65,100,7.44,SH,1683765672
10,olonkinbyen,70.9221,-8.7187,0.38,98,100,6.26,SJ,1683765673
11,hermanus,-34.4187,19.2345,14.33,86,28,5.53,ZA,1683765673
12,invercargill,-46.4,168.35,8.34,95,94,1.34,NZ,1683765651
13,nizhnyaya poyma,56.1622,97.1933,6.09,43,5,1.73,RU,1683765674
14,bangar,16.8936,120.4243,30.94,65,49,1.49,PH,1683765674
15,papao,-17.75,-149.55,28.82,84,100,15.9,PF,1683765674
16,christchurch,-43.5333,172.6333,10.79,68,40,8.75,NZ,1683765674
17,paciran,-6.8767,112.3761,27.71,84,83,3.2,ID,1683765675
18,nova sintra,14.8667,-24.7167,20.47,80,15,5.58,CV,1683765675
19,whitehorse,60.7161,-135.0538,16.56,31,75,8.05,CA,1683765409
20,bilibino,68.0546,166.4372,2.78,80,100,2.22,RU,1683765676
21,port mathurin,-19.6833,63.4167,25.33,75,83,8.64,MU,1683765676
22,happy valley-goose bay,53.3168,-60.3315,4.17,41,75,4.12,CA,1683765676
23,codrington,-38.2667,141.9667,14.48,63,3,5.39,AU,1683765677
24,ilulissat,69.2167,-51.1,-1.99,80,16,7.2,GL,1683765677
25,adamstown,-25.066,-130.1015,21.66,60,100,9.47,PN,1683765677
